年份,变量,均值,中位数,标准差,最小值,最大值,样本量
2004,Lev,0.49529832685515035,0.503736066119103,0.187878224678276,0.0790443650064091,0.9325074441482946,1427
2004,SL,0.4204334751134533,0.41743122361368196,0.180525212975735,0.0650190011360791,0.8494421102823052,1418
2004,LL,0.07197484034421345,0.033436111624541354,0.09358866182668783,0.0,0.4201456117142569,1410
2004,SDR,0.858270239100634,0.9278044005724402,0.17273788775514334,0.2912331783638469,1.0,1418
2004,Cash,0.15776556957127347,0.1281900898716547,0.11551348664018672,0.0038179563139306,0.534386334765182,1422
2004,ROA,0.020237599576347347,0.0267348588322431,0.07424159202183846,-0.3507503326152115,0.1721707311331471,1427
2004,ROE,-0.006555157571979166,0.0585017360857485,0.37584783345566863,-2.744641364824312,0.3116124930641101,1427
2004,SLoan,0.18169983978339205,0.17057168445158544,0.13190701549413228,0.0,0.5157190242849238,1418
2004,LLoan,0.057106170568558955,0.018540585211074448,0.08361671256257615,0.0,0.37800260447174,1406
2004,Top1,0.41844191863905317,0.39854049999999996,0.1680630575528017,0.022448,0.8499840000000001,1352
2004,HHI5,0.2265359348784195,0.1926965,0.13807211680097653,0.02536355,0.5744368999999997,1316
2004,Size,21.217868098422805,21.13288357928471,1.0808534201945912,15.759392440047526,27.12479404758055,1468
2004,Age,4.366379310344827,5.0,1.286200203924422,0.0,5.0,1392
2005,Lev,0.5132609669434209,0.5237235165282064,0.1908433544884821,0.0777984154876046,0.9590239628704594,1407
2005,SL,0.43716954077587006,0.43936569927605684,0.18187819826469073,0.0572258277203614,0.8708593886725907,1398
2005,LL,0.07315786490362909,0.0321118643112026,0.09823964262031865,0.0,0.4796222670261369,1391
2005,SDR,0.8635465972226539,0.9331213585886826,0.1687774494401959,0.3033934884357175,1.0,1398
2005,Cash,0.14363023057630847,0.11791151468569855,0.10908649462026246,0.0052711125128617,0.5266008874508752,1402
2005,ROA,0.013149078452014006,0.022520190876688,0.0753888952842534,-0.31682518568081,0.1736408681370165,1407
2005,ROE,-0.026100654216963334,0.0495380963490195,0.3705382195436716,-2.55524475327951,0.2982972986532774,1407
2005,SLoan,0.17634299604312992,0.1636961266097555,0.12868347469282923,0.0,0.533527815542698,1397
2005,LLoan,0.056878134466579,0.018075680111562048,0.085219399815277,0.0,0.3824194646528484,1384
2005,Top1,0.4033815133333334,0.377029,0.16224350166567764,0.04238,0.849785,1350
2005,HHI5,0.2136490445531587,0.1784115,0.1315342108317278,0.02521172,0.56250919,1298
2005,Size,21.2650143636432,21.180406258790114,1.1193981264366353,17.121873923971293,27.32175174540265,1464
2005,Age,5.0438892640108035,6.0,1.7839652155891264,0.0,6.0,1481
2006,Lev,0.5176122150317877,0.5349589767467748,0.18752220056881239,0.0867679214732825,0.9486827791970368,1476
2006,SL,0.4384744016940212,0.4392666239729859,0.17805288463751082,0.069601745282144,0.8870160864714036,1462
2006,LL,0.07560575734119215,0.0346875956400714,0.09945869422040204,0.0,0.4448568715877448,1453
2006,SDR,0.8616128849644819,0.9320092174381938,0.17103792346285868,0.2653205154273527,1.0,1462
2006,Cash,0.14622152230559318,0.1188993045239051,0.11340272428987976,0.0023281442411014,0.5661717713512221,1475
2006,ROA,0.02918267803090224,0.0284957418293009,0.06079178335344098,-0.231110706154226,0.1873554878657497,1476
2006,ROE,0.03363991038897126,0.0658495479629993,0.2511364887227692,-1.6860158417117403,0.3740353954748884,1476
2006,SLoan,0.16202831237879906,0.15452562302692702,0.12138664424815222,0.0,0.5175407432376732,1474
2006,LLoan,0.060048371864972035,0.0179239931870556,0.08930152896328374,0.0,0.4029846769955131,1450
2006,Top1,0.3607775673758865,0.33537399999999995,0.14993907646241447,0.045385,0.837521,1410
2006,HHI5,0.17194053484398217,0.14297300000000002,0.1140768729976788,0.01795435,0.515322,1346
2006,Size,21.3245384171561,21.229984919214928,1.287913733778796,12.314250364142612,29.647139131398784,1547
2006,Age,5.5769470404984425,7.0,2.354195469696109,0.0,7.0,1605
2007,Lev,0.5073551461572489,0.512446571261537,0.1876527464557386,0.0822722706096918,0.9452570965807666,1598
2007,SL,0.4229875869728668,0.4189377872788684,0.17663778135423097,0.0587838996175624,0.8758471191656256,1573
2007,LL,0.07842098669310656,0.0390388655410097,0.09659774335345536,0.0,0.4236984785906924,1565
2007,SDR,0.8500852047620279,0.9197964997067724,0.1718994000868932,0.2786622494597109,1.0,1573
2007,Cash,0.16011937501692117,0.1288410017605409,0.12571887951240043,0.0008791896293608,0.6251260465474526,1597
2007,ROA,0.04590123095660277,0.04231758044567015,0.0630776721666588,-0.2360944069202293,0.2596922544148324,1598
2007,ROE,0.09473485594285656,0.0891369529082589,0.1648242224575412,-0.7318060601377179,0.7765291922893642,1598
2007,SLoan,0.14829171895543483,0.1334495334844475,0.1189710664515764,0.0,0.4980078850321276,1597
2007,LLoan,0.05802720645587547,0.0148716260823515,0.08692116420503915,0.0,0.3779937518708228,1561
2007,Top1,0.35777364153439145,0.33898599999999995,0.15238597270656015,0.008225,0.8628629999999999,1512
2007,HHI5,0.17039924921394395,0.143349,0.11636529143300754,0.01411358,0.5473722599999999,1463
2007,Size,21.47042676740084,21.355095410241795,1.5351400729662315,0.0,29.792536531835015,1662
2007,Age,6.3590361445783135,8.0,2.5971206825176174,0.0,8.0,1660
2008,Lev,0.5022129592624726,0.5106570667664347,0.19758516078167127,0.0723767851748468,0.9356837892620418,1656
2008,SL,0.4154513973104601,0.4077016172152623,0.18157470231219686,0.0617399014742843,0.8627127617902881,1632
2008,LL,0.08051369388238,0.036572604777978454,0.10409531871476391,0.0,0.4694770413472144,1628
2008,SDR,0.8484521694328322,0.9194996455082771,0.17612649826318805,0.2760556739106554,1.0,1632
2008,Cash,0.1613387668667384,0.12963898384699668,0.12357565730550828,0.0008943004911026,0.6274203920952782,1656
2008,ROA,0.02927605429429239,0.02916814200167555,0.06999827686909404,-0.2334282845148478,0.220271191993047,1656
2008,ROE,0.03786076034927903,0.06626958378748704,0.21692714883328093,-1.3083718869058574,0.4467088514085041,1656
2008,SLoan,0.14366918577046578,0.12756802759463798,0.11979132550192424,0.0,0.4567406195607479,1656
2008,LLoan,0.059938825053823135,0.0115552321557193,0.09332375485117125,0.0,0.4357497750907971,1623
2008,Top1,0.3638560800508259,0.34757150000000003,0.1548821204986189,0.037351,0.8641880000000001,1574
2008,HHI5,0.1751504653002611,0.14826499999999998,0.12029616634565456,0.01349764,0.5609341000000002,1532
2008,Size,21.53309947758071,21.395964444558196,1.5075628825272633,10.842198658885218,29.909073118607868,1717
2008,Age,6.715777899945024,9.0,3.236893448009796,0.0,9.0,1819
2009,Lev,0.4889401290397487,0.49784425536709476,0.20869290112404415,0.0535862364879072,0.9403555017965902,1802
2009,SL,0.38927282768857396,0.38115839578591915,0.18483109793094307,0.0461209903383444,0.8291738981503252,1774
2009,LL,0.09310272033862323,0.04278990616257615,0.11600979901972645,0.0,0.5202382180627533,1774
2009,SDR,0.8236644683999697,0.8951631947728984,0.19394207671349006,0.2586700608880548,1.0,1774
2009,Cash,0.2078681404937351,0.15725011855353488,0.17100475826358666,0.0010599489468465,0.7899749225089573,1802
2009,ROA,0.03928072218739173,0.03655739849177905,0.06341856959035534,-0.2227235041861734,0.2276905587036212,1802
2009,ROE,0.06259004136257434,0.07842858866125771,0.1827333860404246,-1.1791226954300795,0.3860288054908672,1802
2009,SLoan,0.1212392734513653,0.09580111636873259,0.11506870383964986,0.0,0.4824601213783815,1802
2009,LLoan,0.06769116807912348,0.0141861412020572,0.10196791686020286,0.0,0.4623387434336955,1775
2009,Top1,0.36271956047904186,0.339747,0.15656649136082657,0.036355,0.862003,1670
2009,HHI5,0.17473500650431567,0.1457815,0.1232805537931725,0.0134645,0.5741486499999995,1622
2009,Size,21.594264233795602,21.440608172946323,1.6363163366813143,0.0,30.097853149548783,1866
2009,Age,6.449908088235294,9.0,4.114149399195983,0.0,10.0,2176
2010,Lev,0.44919630791607706,0.4560340235204846,0.2275905333748305,0.027660792760781,0.935237178310073,2163
2010,SL,0.3584514173547338,0.3491039214491744,0.19448508025704667,0.0220201012377731,0.8279656727797702,2129
2010,LL,0.08402901209956491,0.0333644861239693,0.11076472924702534,0.0,0.4853746195103297,2129
2010,SDR,0.8327677860588703,0.9070865804580528,0.1892160333390267,0.2360060840901172,1.0,2129
2010,Cash,0.25122956939099345,0.1851451926023654,0.20107398731474785,0.0024212916230382,0.8465230193415377,2163
2010,ROA,0.05126859721897309,0.0452175426336422,0.048930151771320096,-0.1049516906815003,0.2087551340171308,2163
2010,ROE,0.09462275760966891,0.0828919442556508,0.10015959513380684,-0.3329500010492754,0.4080667156661418,2163
2010,SLoan,0.10328689571715784,0.0678818848946089,0.11352675024810038,0.0,0.4768524037768352,2163
2010,LLoan,0.059691602640075475,0.0057514014939198995,0.09701810778882036,0.0,0.4553196187825561,2128
2010,Top1,0.3624579196029777,0.3423859999999999,0.15758154842189548,0.0183739999999999,0.864938,2015
2010,HHI5,0.17643683120567374,0.1504995,0.12423007734542595,0.01219967,0.57669542,1974
2010,Size,21.666902990626834,21.47653192537693,1.6072532059998996,0.0,30.23064105748964,2221
2010,Age,6.712629399585921,9.0,4.494614507446889,0.0,11.0,2415
2011,Lev,0.4322173565559883,0.4354366663746239,0.23221480133180097,0.0311001028533515,0.9398064369576744,2409
2011,SL,0.3490446810712505,0.3353102810099027,0.1964707350471154,0.0260176847622405,0.8231905056916056,2371
2011,LL,0.07666103463851634,0.0284292170337277,0.10419377593940732,0.0,0.447754676836522,2369
2011,SDR,0.8429819366697027,0.912259975162614,0.1795884468655427,0.2536916471577081,1.0,2371
2011,Cash,0.24262065324570992,0.1814566275954706,0.18477874472898353,0.003555801887334,0.7757212779725157,2409
2011,ROA,0.04822861967846074,0.0445387694352971,0.051016043225444646,-0.1400144132208582,0.2058798609610334,2409
2011,ROE,0.07890349095910232,0.080455472733284,0.11981344087268866,-0.630650846024563,0.3701014696060037,2409
2011,SLoan,0.10360333112419828,0.0684926841121418,0.11370164421122067,0.0,0.4799381273849969,2409
2011,LLoan,0.04922153225357368,0.0013622426575066,0.08634987279517606,0.0,0.4173530584331404,2359
2011,Top1,0.36203831721132895,0.343301,0.15670228783825207,0.021969,0.894086,2295
2011,HHI5,0.17640258004862952,0.1516105,0.12304485405647439,0.01232522,0.5706678699999994,2262
2011,Size,21.776669071511435,21.57090371397981,1.504490403178392,15.715152767365977,30.370367638038154,2456
2011,Age,7.315789473684211,9.0,4.697451771821459,0.0,12.0,2546
2012,Lev,0.43440535922689977,0.4355120652107924,0.22948314005450712,0.0393017499483853,0.931565158397644,2555
2012,SL,0.3404917908127688,0.3230320318952683,0.1969701166206811,0.0,0.8230167511871501,2555
2012,LL,0.08135018239920982,0.0322072148286915,0.10604660076172222,0.0,0.475488114488146,2555
2012,SDR,0.8158387874000013,0.8939313470049691,0.21295063273222978,0.0,1.0,2555
2012,Cash,0.2228782279623406,0.1718398909576432,0.1656748542307955,0.0084799550618146,0.7431242577405124,2555
2012,ROA,0.04087700607985163,0.0363986628320095,0.04812803130966752,-0.1105033063851149,0.2034729286183802,2555
2012,ROE,0.0676331813615422,0.0692433734383594,0.09861207174758665,-0.4145057388679933,0.3686871164173935,2555
2012,SLoan,0.10268260490526676,0.0677883244929731,0.11395460944863159,0.0,0.4728201536343597,2555
2012,LLoan,0.04496696693033358,0.000156245255209,0.08128744212415416,0.0,0.3889295514181551,2554
2012,Top1,0.36383024133713815,0.3450979999999999,0.1568172940783559,0.021969,0.894086,2453
2012,HHI5,0.17759657116412997,0.14983,0.12376584943069767,0.0130163,0.5803721999999989,2431
2012,Size,21.861900214416213,21.656510569731395,1.4917048512033417,15.729427063685383,30.49563149169248,2586
2012,Age,8.158766859344894,9.0,4.788615227355716,0.0,13.0,2595
2013,Lev,0.44764765968794207,0.43937739640609136,0.22471155638721937,0.0465650279376704,0.937827788024766,2630
2013,SL,0.3491858966433119,0.3311365342126595,0.19405327928005758,0.0,0.8598912043379424,2630
2013,LL,0.08586905786016492,0.0382604603128163,0.10577085417227981,0.0,0.4819585449590068,2630
2013,SDR,0.8089070272707857,0.8817181887249155,0.209888434389446,0.0,1.0,2630
2013,Cash,0.18849653688424295,0.15236195372786,0.13750922538851978,0.0053940545786367,0.6537543622402743,2630
2013,ROA,0.03883064468498194,0.0331520676318862,0.053815775391558913,-0.1615561608757016,0.2185558720805851,2630
2013,ROE,0.06280114923062366,0.0667549949740258,0.12224019546410231,-0.6432347073612035,0.361140314382558,2630
2013,SLoan,0.10417994401832545,0.07033798168374994,0.11241284502826969,0.0,0.4593695284180458,2630
2013,LLoan,0.04623026426822039,0.0006989390133547,0.0819691790081298,0.0,0.3952107424409204,2625
2013,Top1,0.3586545884022708,0.3394925,0.15654468302872632,0.021969,0.894086,2466
2013,HHI5,0.17179186243386244,0.141089,0.12244341528138684,0.01357684,0.5734851200000002,2457
2013,Size,21.963104759850832,21.75912628486321,1.496124515530526,15.577260503807937,30.57112185642544,2640
2013,Age,8.76041282712864,10.0,5.0422356393260985,0.0,14.0,2713
2014,Lev,0.44621622010736045,0.4358467753461322,0.21778294894142367,0.0543009193737105,0.934144549342116,2787
2014,SL,0.3474169731967011,0.3308968203100345,0.18788696494858748,0.0,0.8323325414849413,2787
2014,LL,0.0853949094185936,0.0424579325356294,0.10244212556583687,0.0,0.4605041172058031,2787
2014,SDR,0.8061327854194271,0.8778111308551455,0.20760262198525162,0.0,1.0,2787
2014,Cash,0.17435971366695807,0.1354205001046152,0.1312679793363188,0.0037846168460417,0.6389266605125068,2787
2014,ROA,0.038361619575999845,0.0329114865553752,0.050732158192983504,-0.1349582375738758,0.1916809722981421,2787
2014,ROE,0.05812002940959432,0.0670778278599412,0.1308079222711133,-0.791859140285653,0.3020214613678131,2787
2014,SLoan,0.09868931572629075,0.06623369019453709,0.10485231771143799,0.0,0.4415489089558056,2786
2014,LLoan,0.04345434161804805,0.0011360939656118,0.07767660336228852,0.0,0.3698396030957884,2783
