年份,行业代码,行业名称,变量,均值,样本量
2009,E,Construction,LLoan,0.08553505895693567,46
2009,E,Construction,Lev,0.6268239886926341,46
2009,E,Construction,Cash,0.2586649161260415,46
2009,E,Construction,ROA,0.03436826206204626,46
2009,E,Construction,ROE,0.096667257030947,46
2009,F,Wholesale/Retail,SLoan,0.13291016516657456,113
2009,F,Wholesale/Retail,LLoan,0.03973708467428056,112
2009,F,Wholesale/Retail,Lev,0.5543873636504463,113
2009,F,Wholesale/Retail,Cash,0.21179055466918847,113
2009,F,Wholesale/Retail,ROA,0.03504173763945124,113
2009,F,Wholesale/Retail,ROE,0.0723307516585773,113
2009,G,Transport,SLoan,0.09002482281239876,70
2009,G,Transport,LLoan,0.1271953763554518,68
2009,G,Transport,Lev,0.4299031346483595,70
2009,G,Transport,Cash,0.14722789015229515,70
2009,G,Transport,ROA,0.04455473305007089,70
2009,G,Transport,ROE,0.05663743575457658,70
2009,J,Finance,SLoan,0.05097021051886996,59
2009,J,Finance,LLoan,0.04042160405847889,42
2009,J,Finance,Lev,0.6255770014807867,59
2009,J,Finance,Cash,0.2678468088822312,59
2009,J,Finance,ROA,0.03496643826516744,59
2009,J,Finance,ROE,0.1130589289811314,59
2009,K,Real Estate,SLoan,0.06561496996202346,110
2009,K,Real Estate,LLoan,0.12231971716837191,110
2009,K,Real Estate,Lev,0.5803527336132697,110
2009,K,Real Estate,Cash,0.19834875380006203,110
2009,K,Real Estate,ROA,0.043399919512943856,110
2009,K,Real Estate,ROE,0.10816783613326926,110
2011,C,Manufacturing,SLoan,0.11462576738288892,1341
2011,C,Manufacturing,LLoan,0.03374710541890882,1329
2011,C,Manufacturing,Lev,0.39390978136882465,1341
2011,C,Manufacturing,Cash,0.25566704493594006,1341
2011,C,Manufacturing,ROA,0.050445320745023496,1341
2011,C,Manufacturing,ROE,0.0748003824088386,1341
2011,D,Utilities,SLoan,0.1260972253426726,92
2011,D,Utilities,LLoan,0.18023356318952222,92
2011,D,Utilities,Lev,0.5843127548516894,92
2011,D,Utilities,Cash,0.12051802627218987,92
2011,D,Utilities,ROA,0.02706953993157193,92
2011,D,Utilities,ROE,0.04716489847040093,92
2011,E,Construction,SLoan,0.08948318316249633,61
2011,E,Construction,LLoan,0.07418801060945465,61
2011,E,Construction,Lev,0.5892523643751242,61
2011,E,Construction,Cash,0.23078680304171045,61
2011,E,Construction,ROA,0.028889889329496366,61
2011,E,Construction,ROE,0.08314003306713892,61
2011,F,Wholesale/Retail,SLoan,0.12823763873483116,134
2011,F,Wholesale/Retail,LLoan,0.031324324282062235,132
2011,F,Wholesale/Retail,Lev,0.5473024568665519,134
2011,F,Wholesale/Retail,Cash,0.22988269732954708,134
2011,F,Wholesale/Retail,ROA,0.04280693310725443,134
2011,F,Wholesale/Retail,ROE,0.08921172944218506,134
2011,G,Transport,SLoan,0.07678954976906549,79
2011,G,Transport,LLoan,0.11986327513794973,75
2011,G,Transport,Lev,0.44447696516050256,79
2011,G,Transport,Cash,0.15596578433779928,79
2011,G,Transport,ROA,0.047641758333978164,79
2011,G,Transport,ROE,0.07173299264737476,79
2011,J,Finance,SLoan,0.04305284726915605,70
2011,J,Finance,LLoan,0.02851191219564547,47
2011,J,Finance,Lev,0.5817082847119998,70
2011,J,Finance,Cash,0.2663709103894064,70
2011,J,Finance,ROA,0.03398625311815658,70
2011,J,Finance,ROE,0.10099956596871895,70
2011,K,Real Estate,SLoan,0.06455115433965479,115
2011,K,Real Estate,LLoan,0.13475544190450064,115
2011,K,Real Estate,Lev,0.6226496849607102,115
2011,K,Real Estate,Cash,0.12610932408051842,115
2011,K,Real Estate,ROA,0.03698428624205356,115
2011,K,Real Estate,ROE,0.10395113726082736,115
2013,C,Manufacturing,SLoan,0.11431177206659468,1482
2013,C,Manufacturing,LLoan,0.030312666348803124,1478
2013,C,Manufacturing,Lev,0.41097150573155206,1482
2013,C,Manufacturing,Cash,0.1885988875010661,1482
2013,C,Manufacturing,ROA,0.040647851757222415,1482
2013,C,Manufacturing,ROE,0.05765453986635378,1482
2013,D,Utilities,SLoan,0.11274073734345458,96
2013,D,Utilities,LLoan,0.15636471372314742,96
2013,D,Utilities,Lev,0.5701135261654692,96
2013,D,Utilities,Cash,0.13170780530781526,96
2013,D,Utilities,ROA,0.03030114876458359,96
2013,D,Utilities,ROE,0.05436552644786886,96
2013,E,Construction,SLoan,0.09913910104735178,63
2013,E,Construction,LLoan,0.07659973130005425,63
2013,E,Construction,Lev,0.6322945820636331,63
2013,E,Construction,Cash,0.1837894419074594,63
2013,E,Construction,ROA,0.023242552117549928,63
2013,E,Construction,ROE,0.06533428615745025,63
2013,F,Wholesale/Retail,SLoan,0.12198853379934661,138
2013,F,Wholesale/Retail,LLoan,0.03119871788236458,137
2013,F,Wholesale/Retail,Lev,0.560995917388872,138
2013,F,Wholesale/Retail,Cash,0.19570677962797298,138
2013,F,Wholesale/Retail,ROA,0.03152019123344467,138
2013,F,Wholesale/Retail,ROE,0.07350432587694611,138
2013,G,Transport,SLoan,0.07535713234989887,82
2013,G,Transport,LLoan,0.10508220357442714,82
2013,G,Transport,Lev,0.44026635268945896,82
2013,G,Transport,Cash,0.14462416506732922,82
2013,G,Transport,ROA,0.04018694939754952,82
2013,G,Transport,ROE,0.06403507563922893,82
2013,J,Finance,SLoan,0.043594890876299516,75
2013,J,Finance,LLoan,0.019365942945526106,75
2013,J,Finance,Lev,0.6067491238864011,75
2013,J,Finance,Cash,0.19432619636225396,75
2013,J,Finance,ROA,0.03372236776426246,75
2013,J,Finance,ROE,0.10407677745819477,75
2013,K,Real Estate,SLoan,0.067200653369832,115
2013,K,Real Estate,LLoan,0.17192256083462193,115
2013,K,Real Estate,Lev,0.6467992121272796,115
2013,K,Real Estate,Cash,0.13579783380111934,115
2013,K,Real Estate,ROA,0.03095587495843658,115
2013,K,Real Estate,ROE,0.09392789801311567,115
2015,C,Manufacturing,SLoan,0.10177854322973068,1823
2015,C,Manufacturing,LLoan,0.025911727152820165,1817
2015,C,Manufacturing,Lev,0.3956670044791862,1823
2015,C,Manufacturing,Cash,0.17360706893470462,1823
2015,C,Manufacturing,ROA,0.03765781254469041,1823
2015,C,Manufacturing,ROE,0.04877962252557381,1823
2015,D,Utilities,SLoan,0.08699756455087856,103
2015,D,Utilities,LLoan,0.14853118730285741,103
2015,D,Utilities,Lev,0.5364162036708853,103
2015,D,Utilities,Cash,0.1273660412006907,103
2015,D,Utilities,ROA,0.038293876011050235,103
2015,D,Utilities,ROE,0.07610151149289984,103
2015,E,Construction,SLoan,0.0998258623862001,70
2015,E,Construction,LLoan,0.06410409715213992,70
2015,E,Construction,Lev,0.6269192171481233,71
2015,E,Construction,Cash,0.1714622382395268,71
2015,E,Construction,ROA,0.026563816415492075,71
2015,E,Construction,ROE,0.07300545268183033,71
2015,F,Wholesale/Retail,SLoan,0.11954558149251232,147
2015,F,Wholesale/Retail,LLoan,0.028671175930583364,146
2015,F,Wholesale/Retail,Lev,0.5246339306090274,147
2015,F,Wholesale/Retail,Cash,0.20059493169579734,147
2015,F,Wholesale/Retail,ROA,0.027587935212406184,147
2015,F,Wholesale/Retail,ROE,0.054590047921647164,147
2015,G,Transport,SLoan,0.06408672498762329,85
2015,G,Transport,LLoan,0.10549187340484575,85
2015,G,Transport,Lev,0.4367746253725136,86
2015,G,Transport,Cash,0.12624478524644236,86
2015,G,Transport,ROA,0.037976442003784215,86
2015,G,Transport,ROE,0.05867908980052047,86
2015,J,Finance,SLoan,0.037727799832974335,79
2015,J,Finance,LLoan,0.02502753936986926,79
2015,J,Finance,Lev,0.6816684109641901,79
2015,J,Finance,Cash,0.1826010351373536,79
2015,J,Finance,ROA,0.03208045567894811,79
2015,J,Finance,ROE,0.12667671853108486,79
2015,K,Real Estate,SLoan,0.05671504181081537,116
2015,K,Real Estate,LLoan,0.1503219407015627,116
2015,K,Real Estate,Lev,0.6526995170055595,116
2015,K,Real Estate,Cash,0.14008201512889415,116
2015,K,Real Estate,ROA,0.016183858959568108,116
2015,K,Real Estate,ROE,0.04705871402168729,116
2017,C,Manufacturing,SLoan,0.11928286766890579,1741
2017,C,Manufacturing,LLoan,0.051264144908329395,1081
2017,C,Manufacturing,Lev,0.37736879155095177,2346
2017,C,Manufacturing,Cash,0.17050365555731048,2346
2017,C,Manufacturing,ROA,0.053167732436274685,2346
2017,C,Manufacturing,ROE,0.0820016010314832,2346
2017,D,Utilities,SLoan,0.12034946453982787,93
2017,D,Utilities,LLoan,0.1771321072386911,96
2017,D,Utilities,Lev,0.5268732621236796,113
2017,D,Utilities,Cash,0.12402590146995121,113
2017,D,Utilities,ROA,0.030273545030293274,113
2017,D,Utilities,ROE,0.04933858909655494,113
2017,E,Construction,SLoan,0.11436072473504832,79
2017,E,Construction,LLoan,0.08102391639158682,68
2017,E,Construction,Lev,0.610053297209922,92
2017,E,Construction,Cash,0.15656734858303104,92
2017,E,Construction,ROA,0.027022655616367273,92
2017,E,Construction,ROE,0.0734646148767305,92
2017,F,Wholesale/Retail,SLoan,0.13242215068610602,137
2017,F,Wholesale/Retail,LLoan,0.05374479011816991,88
2017,F,Wholesale/Retail,Lev,0.5217252790909414,164
2017,F,Wholesale/Retail,Cash,0.19516377920849065,164
2017,F,Wholesale/Retail,ROA,0.03236805739989977,164
2017,F,Wholesale/Retail,ROE,0.06623954426468077,164
2017,G,Transport,SLoan,0.09076501245104941,72
2017,G,Transport,LLoan,0.13330375110215328,72
2017,G,Transport,Lev,0.42330245620267065,97
2017,G,Transport,Cash,0.13811428048425295,97
2017,G,Transport,ROA,0.05328232963999323,97
2017,G,Transport,ROE,0.09504021775616114,97
2017,J,Finance,SLoan,0.05158626213483989,51
2017,J,Finance,LLoan,0.0839945025900633,35
2017,J,Finance,Lev,0.7337239390354834,97
2017,J,Finance,Cash,0.1727398178239597,70
2017,J,Finance,ROA,0.017802688069233845,97
2017,J,Finance,ROE,0.07819152350404367,97
2017,K,Real Estate,SLoan,0.05597315849046168,80
2017,K,Real Estate,LLoan,0.1588984240304679,104
2017,K,Real Estate,Lev,0.6531530990713101,117
2017,K,Real Estate,Cash,0.15691797504700497,117
2017,K,Real Estate,ROA,0.026243359757071733,117
2017,K,Real Estate,ROE,0.07809187318214954,117
2019,C,Manufacturing,SLoan,0.11401079736168651,1998
2019,C,Manufacturing,LLoan,0.05317560480644761,1281
2019,C,Manufacturing,Lev,0.3920274710685109,2562
2019,C,Manufacturing,Cash,0.1684965712686342,2562
2019,C,Manufacturing,ROA,0.03622254753419647,2562
2019,C,Manufacturing,ROE,0.029451499159001117,2562
2019,D,Utilities,SLoan,0.10982717800747782,99
2019,D,Utilities,LLoan,0.17433781585514815,102
2019,D,Utilities,Lev,0.5485121950794019,116
2019,D,Utilities,Cash,0.09729941717203223,116
2019,D,Utilities,ROA,0.016968570378776103,116
2019,D,Utilities,ROE,-0.027247967927294284,116
2019,E,Construction,SLoan,0.10231197037213223,86
2019,E,Construction,LLoan,0.09157958597468387,71
2019,E,Construction,Lev,0.6661458810105586,95
2019,E,Construction,Cash,0.1561029004676308,95
2019,E,Construction,ROA,0.009073466994697466,95
2019,E,Construction,ROE,0.002389845992518037,95
2019,F,Wholesale/Retail,SLoan,0.13423759595168946,133
2019,F,Wholesale/Retail,LLoan,0.05379913670697073,91
2019,F,Wholesale/Retail,Lev,0.5212309125648846,162
2019,F,Wholesale/Retail,Cash,0.1784706048560582,162
2019,F,Wholesale/Retail,ROA,0.02658729011272706,162
2019,F,Wholesale/Retail,ROE,0.027662363292861925,162
2019,G,Transport,SLoan,0.07834520831010341,78
2019,G,Transport,LLoan,0.14070925942189888,75
2019,G,Transport,Lev,0.4274463734101718,101
